ID,MP,Party,Number of Children
158,Elizabeth K. T. Sackey(Mrs),NPP,4
159,Ahmed Arthur,NPP,3
160,Christian Corleytey Otuteye,NDC,0
161,David Tetteh Assumeng,NDC,1
162,Kofi Brako,NPP,4
163,Daniel Nii Kwartei Titus-Glover,NPP,4
164,Irene Naa Torshie Addo (Mrs),NPP,2
165,Moses Anim,NPP,NA
166,Rosemund Comfort Abrah (Ms.),NPP,0
167,Dominic B. A. Nitiwul,NPP,3
168,Joseph Akati Saaka (Alhaji),NDC,7
169,Solomon Namliit Boar,NPP,5
170,Namoro Sanda Azumah,NPP,9
171,Abudu Nelson Baani,NDC,5
172,Mutawakilu Adam,NDC,5
173,Matthew Nyindam,NDC,4
174,Sualihu Dandaawa Alhassan,NDC,0
175,Matthew Nyindam,NPP,2
176,Amadu Moses Yahaya,CPP,2
177,Ahmed Yakubu Alhassan (Dr),NDC,3
178,Alfred Sugri Tia (Dr),NDC,5
179,Murtala Ibrahim Muhammed,NDC,1
180,Joseph Nikpe Bukari,NDC,2
181,Bashir Fuseini Alhassan,NDC,4
182,Alhassan Mumuni (Alhaji),NDC,6
183,Ibrahim Dey Abubakari (Alhaji),NDC,5
184,Mary Salifu Boforo (Hajia),NDC,4
185,Donald Dari Soditey,NDC,8
186,Inusah Abdulai B. Fuseini (Alhaji),NDC,4
187,Dahamani Alhassan,Independent,2
188,Haruna Iddrisu,NDC,1
189,James Cecil Yanwube,NPP,4
190,Wahab Wumbei Suhiyini,NPP,NA
191,Sagre Bambangi (Dr.),NPP,NA
192,Maban George Laliri,NDC,9
193,Mustapha Ussif,NPP,2
194,Seidu Amadu (Alhaji),NDC,7
195,Tijani Habibu Mohammad (Alhaji),NPP,3
196,Joseph Bipoba Naabu,NDC,3
197,Jabaah John Bennam,NPP,7
198,Mahama Ayariga,NDC,0
199,Noah Ben Azure,NDC,3
200,Opam-Brown Emmanuel Akolbire,NDC,6
201,Dominic Ayine,NDC,6
202,Albert Abongo,NDC,6
203,James Agalga,NDC,1
204,Alhassan Azong,PNC,6
205,Pele Abuga,NDC,0
206,Azimbe Dominic Azumah,NDC,4
207,Boniface Gambila Adagbila,NPP,0
208,Mark Owen Woyongo,NDC,2
209,Laadi Ayii Ayamba,NDC,3
210,Benson Tongo Baba,NDC,NA
211,David Adakudugu,NDC,5
212,Apul Cletus Avoka,NDC,4
213,Mathias Asoma Puozaa,NDC,5
214,Paul Derigubaa,Independent,6
215,Edward Kaale-Ewola Dery,NDC,NA
216,Samson Abu,NDC,4
217,Alban S. K. Bagbin,NDC,NA
218,Benjamin Bewa-Nyog Kunbuor (Dr.),NDC,3
219,Alijata Sulemana Gbentie (Hajia),NDC,NA
220,Amin Amidu Suleimani,NDC,6
221,Abdul-Rashid Pelpuo,NDC,6
222,Ameen Salifu,NDC,3
223,Joseph Yieleh Chireh,NDC,4
224,Kwame Governs Agbodza,NDC,3
225,Joseph Z. Amenowode,NDC,7
226,Juliana Azumah-Mensah (Mrs),NDC,2
227,Joseph Kwadwo Ofori,Independent,NA
228,Peter Nortsu-Kotoe,NDC,2
229,Bernard Ahiafor,NDC,2
230,Clement Kofi Humado,NDC,5
231,Emmanuel Kwasi Bandua,NDC,3
232,Kwasi Ashiamah,NDC,NA
233,Joe Kwashie Gidisu,NDC,3
234,Benjamin Komla Kpodo,NDC,7
235,Emmanuel Kwasi Bedzrah,NDC,4
236,Bernice Adiku Heloo (Mrs) (PhD),NDC,3
237,Richard Mawuli Quashigah,NDC,1
238,James Klutse Avedzi,NDC,2
239,Fiifi Fiavi Kwetey,NDC,4
240,Della Sowah (Mrs),NDC,3
241,Wisdom Gidisu,NDC,8
242,John Majisi,NDC,7
243,Helen Adjoa Ntoso,NDC,3
244,Kwabena Bless John Oti,NDC,0
245,Gershon K. B. Gbediame,NDC,5
246,George Loh,NDC,1
247,Samuel Okudzeto Ablakwa,NDC,1
248,Edem Asmah,NDC,5
249,Kobena Mensah Woyome,NDC,3
250,George Kwame Aboagye,NDC,4
251,George Kofi Arthur,NDC,0
252,Akwasi Opong-Fosu,NDC,4
253,Eric Afful,NDC,NA
254,Mathias Kwame Ntow,NDC,5
255,Richard Acheampong,NDC,5
256,Michael Coffie Boampong,NDC,6
257,Gyedu Kingsley Aboagye,NPP,4
258,Sampson Ahi,NDC,5
259,Joseph Cudjoe,NPP,3
260,Emmanuel Armah-Kofi Buah,NDC,2
261,Joe Ghartey,NPP,5
262,Kweku Tanikyi Kessie,NDC,3
263,Francis K. Anaman (WG. CDR. [RTD]),NDC,3
264,Mintah Kwabena Akando,NDC,4
265,Joe Baidoe-Ansah,NPP,3
266,Alex Kofi Agyekum,NPP,4
267,Francis Adu-Blay Koffie,NDC,2
268,"Herod Cobbina,",NDC,3
269,Evans Paul Aidoo,NDC,5
270,Papa Owusu-Ankomah,NPP,3
271,Gabriel Kodwo Essilfie,NDC,4
272,Stephen M. E. K. Ackah,NDC,3
273,Kwabena Okyere Darko-Mensah,NPP,2
274,Gifty Eugenia Kusi (Mrs),NPP,4
275,Isaac Adjei Mensah,NDC,5
