Region,Kids
Ashanti Region,3.659574468
Brong Ahafo,4.034482759
Central Region,3.52173913
Eastern Region,3.033333333
Greater Accra,3.181818182
Northern Region,4.206896552
Upper East Region,3.285714286
Upper West Region,4.625
Volta Region,3.5
Western Region,3.64
