shapeid,x,y,Path
0,-1.631729082,6.190556867,1
0,-1.623400968,6.18520308,2
0,-1.613288259,6.187582541,3
0,-1.604262948,6.190064907,4
0,-1.604483962,6.184317112,5
0,-1.604387999,6.178514957,6
0,-1.603793025,6.172898769,7
0,-1.603005052,6.170293808,8
0,-1.601559997,6.167788982,9
0,-1.599694967,6.165458202,10
0,-1.59542203,6.161028862,11
0,-1.579772949,6.145847797,12
0,-1.575556993,6.141407967,13
0,-1.57367897,6.13909483,14
0,-1.572131038,6.136641979,15
0,-1.569767952,6.13106823,16
0,-1.568156958,6.128523827,17
0,-1.566194057,6.126123905,18
0,-1.559527993,6.119246006,19
0,-1.538882971,6.099011898,20
0,-1.534152031,6.095128059,21
0,-1.532120943,6.093852043,22
0,-1.525028944,6.090405941,23
0,-1.517444015,6.085828781,24
0,-1.510318995,6.082392216,25
0,-1.505879045,6.079257965,26
0,-1.503646016,6.077196121,27
0,-1.50159502,6.074989796,28
0,-1.499078035,6.071397781,29
0,-1.49672401,6.065789223,30
0,-1.492485046,6.05821085,31
0,-1.491780996,6.055677891,32
0,-1.491410971,6.053011894,33
0,-1.491245031,6.047531128,34
0,-1.491739988,6.042144775,35
0,-1.492434978,6.039617062,36
0,-1.493721962,6.037055969,37
0,-1.496673942,6.032089233,38
0,-1.498942018,6.026471138,39
0,-1.503254056,6.01890707,40
0,-1.504009962,6.016589165,41
0,-1.505959034,6.008534908,42
0,-1.506973028,6.005380154,43
0,-1.511991978,5.991847038,44
0,-1.526095033,5.997447014,45
0,-1.536649942,6.000990868,46
0,-1.544343948,6.005328178,47
0,-1.550043941,6.007558823,48
0,-1.557585955,6.011898994,49
0,-1.563263059,6.01411581,50
0,-1.570803046,6.01843977,51
0,-1.576482058,6.020652771,52
0,-1.584022045,6.024962902,53
0,-1.58969903,6.027180195,54
0,-1.597234011,6.031661034,55
0,-1.604297042,6.035157204,56
0,-1.615705967,6.043183804,57
0,-1.622771978,6.046679974,58
0,-1.630306005,6.051158905,59
0,-1.635980964,6.053377151,60
0,-1.643522978,6.057685852,61
0,-1.649199963,6.059898853,62
0,-1.656741977,6.064218044,63
0,-1.662421942,6.066435814,64
0,-1.669960976,6.070756912,65
0,-1.675640941,6.072972775,66
0,-1.683189034,6.077287197,67
0,-1.688887,6.079491138,68
0,-1.696480989,6.083826065,69
0,-1.70223403,6.086163998,70
0,-1.705569983,6.088352203,71
0,-1.70807302,6.090498924,72
0,-1.721107006,6.103816032,73
0,-1.713461041,6.105926991,74
0,-1.710216999,6.107262135,75
0,-1.707455039,6.109039783,76
0,-1.705348969,6.111498833,77
0,-1.703963995,6.114394188,78
0,-1.703230023,6.117490768,79
0,-1.702079058,6.127028942,80
0,-1.701292038,6.129999161,81
0,-1.697517991,6.137715817,82
0,-1.696743011,6.140835762,83
0,-1.696378946,6.144120216,84
0,-1.69619596,6.150911808,85
0,-1.696409941,6.188796043,86
0,-1.696686029,6.195576191,87
0,-1.697100997,6.198849201,88
0,-1.697932959,6.201955795,89
0,-1.701828003,6.20962286,90
0,-1.70263505,6.21257019,91
0,-1.703060985,6.215675831,92
0,-1.703384995,6.222116947,93
0,-1.703470945,6.238481045,94
0,-1.702970028,6.244822025,95
0,-1.702214956,6.247788906,96
0,-1.700991988,6.250378132,97
0,-1.69552803,6.260103226,98
0,-1.694249988,6.261994839,99
0,-1.692764044,6.263701916,100
0,-1.689098954,6.266409874,101
0,-1.684296966,6.26887989,102
0,-1.676748037,6.273436069,103
0,-1.676343976,6.261940697,104
0,-1.669800458,6.25658691,105
0,-1.664446671,6.24409474,106
0,-1.657308288,6.231602569,107
0,-1.65076477,6.220300129,108
0,-1.642436656,6.206618229,109
0,-1.636488004,6.199479846,110
0,-1.631729082,6.190556867,111
1,-1.491780996,6.055677891,112
1,-1.446250097,6.076580685,113
1,-1.41948116,6.079555011,114
1,-1.380814919,6.097400969,115
1,-1.34809733,6.121195579,116
1,-1.303482436,6.13606721,117
1,-1.272979021,6.137478828,118
1,-1.269106984,6.129779816,119
1,-1.268332005,6.126805782,120
1,-1.267791986,6.120417118,121
1,-1.267531991,6.107341766,122
1,-1.267124057,6.104394913,123
1,-1.266224027,6.101922035,124
1,-1.265136003,6.100658894,125
1,-1.263725996,6.099938869,126
1,-1.261968017,6.099856853,127
1,-1.260043025,6.100293159,128
1,-1.254073977,6.102694988,129
1,-1.251055956,6.103498936,130
1,-1.244825006,6.104661942,131
1,-1.241844058,6.105523109,132
1,-1.234073997,6.109397888,133
1,-1.231487036,6.110113144,134
1,-1.220322013,6.111583233,135
1,-1.217095017,6.112382889,136
1,-1.210587978,6.114627838,137
1,-1.192973971,6.121732235,138
1,-1.191573024,6.10749197,139
